question,document_identifier
After working nights and nights on this I have came to the conclusion that the nvidia's apparently have problems with black screening after windows logo.  This is very frustrating but I would really like some help.  I want to get the Pci Express x1 NVS 300 video card to work in my T100 with Windows 7 x64 installed.  I installed the supplied driver and after restart it goes black after windows booting logo. I reboot into safemode and the video is working. I installed the latest NVidia drivers released in Feb 2012. I restart and it goes black. I go back into safemode and made sure windows aero features where off (they already were). I try a bunch more older version from Nvidia and it goes black. I switched a few irq's around in the bios and it goes black. I have no idea what these drivers are doing that causes a black screen but I can not figure it out. I have searched google a ton and a lot of things I tried came from reading other forum posts so I am hoping a Dell guy/gal will step in on this forum.  I have tried it with the vga adapter on my dell lcd monitor and the dvi adapter on my dell lcd monitor. I actually have two slightly different dell lcd monitors and both them have the same issue. I have the card in my pcix 1 slot and that is the only card installed on the motherboard. I have also tried the card in the x4 slot and it comes up but Windows marks it as having a hardware issue and disables the driver.  I just updated my bios to the newest one suggest on my Dell T100 support page which is PET100-010401C and that did not fix anything.Can someone help me?,doc_23
"All,is it possible to expand an Raid 5 or Raid 6 array from UEFI Bios with Perc H 710 in PowerEdge R320?I'm using Debian and I'm not sure if omreport is installed properly.",doc_24
"Alright, so I'm over exaggerating, but I still am stuck. I have 4 newly squired servers from my college. They are: POWEREDGE 2900 - with 2 dual core Xeon 3.2GHz - 4GB of RAM - and a RAID0 config - x3 146GB 10,000 RPM 3GB/s HDD's adding up to about 446GB of space.POWEREDGE 2800 - with 2 dual core Xeon 2.8GHz - 8GB of RAM - and a RAID0 config - x5 36.4GB 15,000 RPM 3GB/s adding up to about 160GB of space.POWEREDGE 2600 - with 2 single core Xeon 2.4GHz - 3GB of RAM - single RAID0 config - x1 73.4GB 10,000 RPM 3GB/s.POWEREDGE 2600 - with 2 single core Xeon 2.4GHz - 1.5GB of RAM - single RAID0 config - x1 73.4GB 10,000 RPM 3GB/s.So basically, I would like to know what I can do with these. I am hoping I can do something with the 2600's like use them as a small render farm for Blender? Is that possible? And the 2900 with Ubuntu 16.04.1 LTS, I am already using as a dedicated media server hosting films and making accessible with Apache2 as a website. As for the last 2800, it also has Ubuntu 16.04.1 LTS running as a game server for MINECRAFT.Don't get me wrong, all this is working absolutely perfect. I just don't see these as using them to their full potential. I mean, com'on, I have 4 PowerEdge servers! Freaking beasts, even if they are a little old (okay a lot old). So in all, like I stated, I just would like to know if this can happen and what they can really do. Also, if what the max RAM and CPU components they can contain would be helpful.(Bring on the tech talk please.)",doc_25
"Although not listed as such, can the Dell X520 dual port 10 Gb DA/SFP+ network adapter (Dell P/N 540-BBDW) be used in one of the two low-profile PCIe slots in a R815 server?This card is supported in the R420 and R430, etc but not the R815. For the R815, the X520 KR/XAUI card (Dell P/N 540-10903) seems to be the officially supported 10 Gb adapter but it has RJ45 connectors, not SFP+ sockets.Andy",doc_26
"Am I limited to certain cpu's to upgrade to? I know they would have to fit the socket type (LGA1366), but any other stipulations? It currently has a  Xeon E5620. I ordered 2 Xeon W3670 and was curious if these would work. ",doc_27
"Am I the only one who hates the web ordering cart?As I see it,  the cart works some times. I email the cart to clients, sometimes it works, other times they can't pull the cart up. My solution is to send it to myself, print it to a PDF, then send to the client. Today I decide to print the cart after I saved it, well I end up on a page with no print option, nonsense. I had log out  completely, then back in to print. Other times the cart is saved, it works, but then disappears in a day or two; fine, if your updating of  prices makes it old, honor the price for a few days and stop screwing around with saved carts. Then another goody, your sales people  can get to the carts half the time. The cart system is obtuse, no one ever fixes it. So aggravating. One of my clients was so frustrated  with the web ordering, he wanted to go HP.",doc_28
"Amazon Product LinkNew RamOld RamI have a PE2950 II with 4 x 2GB (HYMP525F72CP4N3-Y5AB-T) installed and purchased 4 x 4GB (HYMP151F72CP4N3-Y5AC-C).  Based on what I have seen error message E2011 seems to common when installing UDIMMs however I believe the 4GB sticks I bought are Fully Buffered RDIMMs.  I have tried the following configurations and all display the same ""E2011 Memory Config Err"" on the lcd.  I have updated to the latest BIOS 2.7.0Anyone have any thoughts about what is causing the RAM to not be recognized?  Was I wrong about compatibility?  Or any suggestions on what RAM would work?Original Placement  of ramSLOT_1SLOT_2SLOT_3SLOT_4SLOT_5SLOT_6SLOT_7SLOT_82GB2GB2GB2GB1) Existing RAM + New RAMSLOT_1SLOT_2SLOT_3SLOT_4SLOT_5SLOT_6SLOT_7SLOT_82GB2GB2GB2GB4GB4GB4GB4GB2) New Ram instead of existingSLOT_1SLOT_2SLOT_3SLOT_4SLOT_5SLOT_6SLOT_7SLOT_84GB4GB4GB4GB3) New Ram in slots based on the manualSLOT_1SLOT_2SLOT_3SLOT_4SLOT_5SLOT_6SLOT_7SLOT_84GB4GB4GB4GB4) Single Stick in SLOT 1SLOT_1SLOT_2SLOT_3SLOT_4SLOT_5SLOT_6SLOT_7SLOT_84GB",doc_29
Any help on this topic would be gratefully appreciated.Can anyone tell me what graphics cards are suitable for the PowerEdge T110 with Service Tag (removed by moderator) and Reg Model E11S.ThanksDuncan,doc_30
"Any solution for this, how can i use full storage of 4 tb Hard Drive,Thanks",doc_31
"Anyone familiar with this R610 error ""bus 0 device 28 function 0"". Runs ESXi host and ESX shows report of LINT1 motherboard interrupt.",doc_32
"Anyone know if the PowerEdge T410 with the 1.12.0 BIOS is compatible with Xeon X5680's? The release notes indicate the system is compatible with 5600 series processors but I am unable to get the server to actually boot with them installed.What I have tried:Reset BIOS - NO-GO-Reflashed BIOS to 1.12.0 - NO-GO-Removed all other processors and RAM leaving only bank 1 - NO-GO-Installed a single (didn't have another) ""known-good"" X5650 6-Core 130watt processor - ALL-GOOD-I am now under the impression that BIOS 1.12.0 is NOT compatible with X5680 processors.Can someone assist and verify this for me? My Google-Fu is not returning any results...Thanks in advance for your time...>Aaron",doc_33
Anyone knows which device this is? Server is crashing and rebooting. has all the latest firmware and drivers.,doc_34
"Apparently trivial question... but I'm failing to find an even vague answer.We have an R630 and we are considering adding a video card to run computations on GPU. The manual states that slot 2 is a ""PCIe x16 connector with x16 bandwidth; 3/4 length , full-height"". So a half-height graphic card should fit there without problem. But then the manual makes no reference whatsoever to graphic cards, and www.dell.com/.../poweredge-gpu doesn't mention the R630 at all. Are we missing anything?",doc_35
Are the Dell PowerEdge 16th generation SSD trays the same as the 14th & 15th generations? The part number we have for the 14/15th generation caddy/slide is DXD9H.It doesn't seem to be the same but there is little to no information on it from what I have seen. Any help would be much appreciated.,doc_36
"Are there any GPU solutions compatible with the T430 that would be good for improving graphics performance on VMs running under ESXI?The AMD FirePro S-line cards for virtualization servers seem to be the right solution but they're pricy.As an alternative to a GPU for virtualization, I am open to considering installing a regular workstation grade GPU and doing hardware passthrough between the GPU and a specific VM.  The T430 and other PowerEdge servers don't seem to have 2x3 PEG connectors for powering regular graphics cards so I wasn't sure if there's a solution for this path.I would appreciate your input.",doc_37
"Attempted many times to connect ftp.dell.com, ftp1 & 2 now way. host verifies through test connection however it throws error when updating.IMO this is due to timeouts.... How can we update?",doc_38
"Attempting to update a T420 with 2xST2000NM0001 using this package: www.dell.com/.../DriversDetails;fileId=3325752923&osCode=WS8R2&productCode=poweredge-t420&languageCode=EN&categoryId=ASFilename SAS-Drive_Firmware_GXCDR_WN32_PS08_A04Error given is that the update failed due to an invalid image file.I can see from the log file that this update has been attempted several times since it was released so the problem has been there since release.Last part of log file:===============> Update Package application started <===============Command:    C:\installs\SAS-Drive_Firmware_GXCDR_WN32_PS08_A04.EXE Date:        2015-05-27 15:19:37=========================================================================CheckMSIPMIDriver : dwStartupType :3Release ID: GXCDRA00-00Update Package version: 7.3.1 (BLD_77)User: redacted\redactedCollecting inventory...Running validation...The version of this Update Package is newer than the currently installed version.    Software application name: ST2000NM0001 Firmware   Package version: PS08   Installed version: PS07The version of this Update Package is newer than the currently installed version.    Software application name: ST2000NM0001 Firmware   Package version: PS08   Installed version: PS07Executing update...Device: ST2000NM0001, Application: ST2000NM0001 Firmware   The operation failed due to an invalid image file.Device: ST2000NM0001, Application: ST2000NM0001 Firmware   The operation failed due to an invalid image file.==============================> Update Result <==========================Update was not applied=========================================================================Exit code = 1 (Failure)2015-05-27 15:21:25===============> Update Package application started <===============Command:    C:\installs\SAS-Drive_Firmware_GXCDR_WN32_PS08_A04.EXEDate:        2015-05-27 15:21:25=========================================================================Update Package finished.  Exit code = 12015-05-27 15:21:28",doc_39
"Attempts to upgrade firmware on a Constellation2 1TB drive with firware AS0B fails using Dell updater. This was performed on an r630 w/ Windows Server 2012R2. Both of these are on the supported OS/Hardware list. Running the updater (SAS-Drive_Firmware_XXTFT_WN64_AS0B_A08.EXE) results in an error message ""Hardware is not Compatible"". KB Article: https://www.dell.com/support/home/us/en/04/drivers/driversdetails?driverid=xxtft The Seagate drives were purchased from another vendor and the firmware version on them is not compatible with our MD38xx disk array - thus requiring the firmware upgrade.Any thoughts and assistance? ",doc_40
"A Dell Rack-mount Console Monitor connected to an APC 8-port KVM switch displays ""Input Signal Out of Range"". The switch shows that it's responding to port one but shows nothng except for the above message.When disconnected from the switch, the monitor displays the usual message,to ""check signal cable"" for connection to the host.The console keyboard connected to the same switch responds to the NUM LOCK key as the indicator LED goes on or off when it is pressed indicating its respective state. However, other keys give a beep sound when pressed. Everything was working fine before - I'm told.What could this situation be? Please help.Thank you.",doc_41
BI see this forum post here which suggests certain PCI-E adapters for NVME SSD(s) but it seems like they didn't work. Are there any compatible adapters for an NVME SSD for this particular server?Thank you in advance for your support!,doc_42
"BIOS setting:Migrating from 2xX5650 Supermicro to 2xX5650 Dell R610 (vSphere Hypervisor 5.5.0 302994):Where is AES-NI?X5650 SupermicroX5650 Dell R610(vim.host.CpuIdInfo) { dynamicType = <unset>, level = 1, vendor = <unset>, eax = ""0000:0000:0000:0010:0000:0110:1100:0010"", ebx = ""0000:0000:0010:0000:0000:1000:0000:0000"", ecx = ""0000:0000:1001:1110:1110:0011:1111:1101"", edx = ""1011:1111:1110:1011:1111:1011:1111:1111"", },(vim.host.CpuIdInfo) { dynamicType = <unset>, level = 1, vendor = <unset>, eax = ""0000:0000:0000:0010:0000:0110:1100:0010"", ebx = ""0010:0000:0010:0000:0000:1000:0000:0000"", ecx = ""0000:0010:1001:1110:1110:0011:1111:1111"", edx = ""1011:1111:1110:1011:1111:1011:1111:1111"", }, ",doc_43
BIOS version 2.11.2  iDRAC version 5.0.Intel SGX not showing in BIOS. Change SGX Launch Control Policy  to Intel Locked in iDRAC Bios settings showsNIC016: AttributeValue cannot be changed for disabled AttributeName SgxLcp.No response action is required.Any solutions?,doc_44
"Been trying all afternoon to download the new SUU (16.04), but every time it either ends early with an incorrect file size or barely gets started before failing.  I am also trying the lifecycle controller updates and it's not going anywhere either.  Is something bad happening at Dell?",doc_45
"Before my question, below I show the equipment I'm usingPowerEdge R16102x Intel Xeon E55066x DDR3L 8GB 1600 ECC RDIMM 1Rx4 (all memory modules are equal)Memory sockets used: A1, A2, A3, B1, B2 and B3Memory mode: optimizerThe R610 manual says""For single or dual-rank memory modules:• One memory module per channel supports up to 1333 MHz.• Two memory modules per channel supports up to 1067 MHz.""As I'm using one memory module per channel, I'd expect a speed of 1333 MHz, but I'm being limited to 800 MHz (Total memory size in this case: 48GB)If I use only four modules instead of 6, with the sockets A1, A2, B1 and B2 being populated, I'm still limited to 800 MHz (Total memory size in this case: 32GB)What's wrong?Any help would be great!",doc_46
"Being that finding a used PowerEdge M830 is difficult (And likely not cheep!) and I need a blade for my VRTX  (Personal LAB) that can have more than 4 local drives. I was curious if the THH7P PowerEdge M830 12x1.8 Backplane will work in a M820. I understand that the front bezel for the blade also would need to be swapped, but first want to know if they are compatible.",doc_47
Best place to learn about the details of Poweredge server specs. Any book available?  Thanks in advance,doc_48
"Bought a R730xd with dual E5-v3 cpus (E5-2630v3). Everything worked without problemsUpgraded to dual E5-v4 cpus (E5-2697v4) without changing anything else.Bios, and all firmware is up to date using idrac to update. Bios version 2.16.0Now only ram in slots to the left of the CPU show up at all. Slots to the right of the bios show errors when posting that the memory in slot XX had a recoverable training error and to try reseating the dimms.For example, install eight 8GB sticks of 1Rx8 Ram following manual  in A1,A2,A3,A4,B1,B2,B3,B4.A1,A2,B1,B2 doesnt show up, but does in A3,A4,B3,B4. Bios only reports 32GB of ram. Lifesycle controller -> system assessment only shows ram in A3,A4,B3,B4All of the slots to the left of the CPU show up, all of the slots to the right of the cpu do not.If i go back to the E5-v3 cpus, everything works normal. all ram in all slots show up. If I try single E5-v4 cpu configuration, for both cpus, same issue. So it is not the mobo, the ram, or the cpu at the hardware level that is causing the problem (to my knowledge)I also tried entirely different 1Rx4 ram and same issue.  Also, The ram only runs at 1866 speed, despite all the dimms being 2400T speed and exactly the same (all 1Rx8 and all same mfg) Cant figure this one out. The memory configuration is set to optimizer mode, so it isnt one of the weird modes where only half the ram shows up to the OS. Here is a photo of what i mean on left of the cpu. All sticks in this image show up properly, but any sticks put in the slots occupied by blanks do not show up. Even if the memory configuration is correct according to the manual Please let me know if I can provide any other info.Thanks! ",doc_49
"Brand new to me system, newly install OS.Server 2012 EssentialsI downloaded the Dell OS Driver Pack, Version 14.10.00 for my server, and upon attempting to install it, after 5 minutes I get ""Update Failre: secure copy failure - the sucure copy function has failed.""I tried running it a second time as administrator.  Same problem.Any ideas?",doc_50
"Buenos dias,Estamos instalando un nuevo DELL PowerEdge T550, vemos que los ventiladores siempre estan al 50% de sus revoluciones. ¿Esta opción se puede regular?Previamente hemos modificado estos valores de System Setings - Cooling...  Ventiladores al 50% (CPU1 51º y CPU2 43º)¿Con Dell TPM activado los discos se encriptan automaticamente con BitLocker?¿Como desactivar alerta “The chassis is open.... while the power is off.” desde la Bios o iDrac?",doc_51
"Buongiorno,avrei bisogno di un preventivo per la sostituzione di un alimentatore ridondante installato per il server PowerEdge 2950 con service number {{Svc Tag rimosso dal moderatore}}fuori garanzia.GrazieCordiali salutiDomenico Procopio",doc_52
"CAN YOU HELP ME? I have a server dell 2850 ver 13 When i do configuration and setting client server, the server dump crash then down,the server die, but power supply on and the fan on, but not on other components. and what is problematic in that component?thanks.",doc_53
"Came across a couple of PE C2100 (not CS2100) wityh 128 (16x8Gb) RAMThey have H700 controller & one spare PCI-e slot.If I fit Intel X540-T2, then memory gets reduced to 80Gb & I briefly (too fast) error on boot about PCI not enopugh space to copy...Looks like buggy BIOS (in addition to not the best hardware)Anybody seen anything like that with this (obviously NOT Dell) hardware?ThanksSeb",doc_54
"Can I boot off of a 2.5"" U2 NVMe SSD on a PowerEdge R7515 server, assuming it is configured with the SAS/SATA/NVMe backplane (12 SAS/SATA + 12 NVMe option)?My local sales rep claims that I can only boot from NVMe if I go for the 24-port ""NVMe-only"" backplane.",doc_55
"Can I mix 2 32GB DELL A8711888  With 2 16GB DELL A8711887, DELL SNPHNDJ7C/16G32GB RDIMM, 2400MT/s, Dual Rank, x4 Data Width (Chips Organization X4)16GB RDIMM, 2400MT/s, Dual Rank, x8 Data Width (Chips Organization X8)Thanks",doc_56
"Can I purchase and install third party HDs (Western Digital, etc.) into a new T340 or T350 Dell Server???I assume all I need is the correct caddy???The cost of Dell HDs is astronomical! Thanks!",doc_57
Can I replace 4 X 1 GB memory with 2 X 8 GB on R410 with single processor. Which two slots do I have to use.,doc_58
Can anyone advise on the end of life date for the PowerEdge M630?,doc_59
Can anyone advise the end of life date for Poweredge r520? Thanks.,doc_60
Can anyone help me find the correct model number for DRAC in the R300 range.  We just inherited 20 servers but they don't have any DRAC so I would like to install them if I can still get the parts. Thanks in advance for any help.,doc_61
"Can anyone identify what what Dell machine model this bezel came from?Mystery bezelThank you,",doc_62
"Can anyone suggest which Internal Dual SD Module is compatible with 13th generation server PowerEdge R930? I have one additional constraint, because after watching installation videos published by Dell, it seems that the Internal Dual SD Module must be installed on an existing PERC H730P PCIe card. I think that the Internal Dual SD Module shown in the video may only be compatible with 12th generation servers, but I am not sure. Thank you in advance for your time and consideration.",doc_63
Can anyone tell me the End Of Sale For the PowerEdge R340?,doc_64
Can anyone tell me which cable is used to connectServer NIC port to switch (cable specification & type crossover or straight)?Server iDRAC port to switch (Cable specification & type crossover or straight)?Thankyou in advance.Cyril.,doc_65
Can someone confirm if the E3110 SLAPM stepping C0 is validated for the PowerEdge T100? I couldn't find the SLB9C stepping E0. Thanks in advance.,doc_66
Can someone help me regarding supported Memory configurations?DDR3L memory is supported according to the technical manual.Are the following Memory configurations supported in a T20?http://www.kingston.com/dataSheets/KVR16LR11D4_16HA.pdf (2 pieces)or this kit:http://www.kingston.com/dataSheets/KVR16LR11D8K4_32I.pdfThanks for your help!Jochen,doc_67
Can someone with a T440 let me know the sequence of keystrokes needed to go from power on > enter BIOS > Integrated Devices details > Disabled (and confirm of prompt) > Save and Exit / reboot ? as per page 15: https://objects.icecat.biz/objects/mmo_85893796_1637592113_7012_56462.pdfWould appreciate it - I don't have a VGA display handy at the moment to enter BIOS and set this; I already have a Quadro 2000 installed which has DisplayPort cable from my current monitor to it. ,doc_68
Can we install Virtual Machine in T310 ? Hardware is supported with it?ThanksThanksAshutosh Chavada,doc_69
"Can you change the service tag on motherboards of 13th generation servers?  For the previous generations, the asset.com tool allowed you to change the service tag if you replaced the motherboard.  That same tool does not work on 13th generation servers.We've been told that you can set the service tag if the motherboard is in BIOS manufacturing mode, but we can't find a way to change the mode.",doc_70
"Cannot use a ""Dell System PowerEdge 2950"" BIOS in a "" -  "" ^ Is the message I get after booting from a bios update floppy drive on my PE 2950.Currently it has 2.2.6 BIOS and I'm trying to update it with 2.5.0 What can be causing this weird error? Thanks",doc_71
"Card,Network,25G,Dell Plus,Small Form Factor Pluggable,Intel,Loop,ZI only know the above information, but I don't know the model, if you know，plz tell me ,thx",doc_72
Client of mine has a PowerEdge R320. They would like to enable both NICs on the server running 2008r2.  The NICs are Broadcom NetExteme Gigabit Ethernet adapters. I keep reading online the you need the BAC to do NIC Teaming on server 2008r2. Checked for the application on dells drivers and support and do not see it. I also see that there is Qlogic firmware now and applications. Did Qlogic take over Broadcom? ,doc_73
